Sample_Name,Target_Name,Stage,CT,Quantity
CondA_1,RNA_1,CondA,15.26,5.352061348852868e-44
CondA_2,RNA_1,CondA,18.29,5.734837058111887e-41
CondA_3,RNA_1,CondA,17.15,4.154522190066911e-42
CondB_1,RNA_1,CondB,19.97,2.7448655905793784e-39
CondB_2,RNA_1,CondB,18.38,7.055390938292545e-41
CondB_3,RNA_1,CondB,18.65,1.3137752710322403e-40
CondC_1,RNA_1,CondC,24.21,4.7700296981145096e-35
CondC_2,RNA_1,CondC,24.7,1.4740800989037518e-34
CondC_3,RNA_1,CondC,24.6,1.1709034428044075e-34
CondD_1,RNA_1,CondD,21.13,3.9675378899754107e-38
CondD_2,RNA_1,CondD,21.68,1.4077355656548178e-37
CondD_3,RNA_1,CondD,24.19,4.5553429968013923e-35
CondA_1,RNA_2,CondA,28.95,2.621326288628659e-30
CondA_2,RNA_2,CondA,23.01,3.009685271414018e-36
CondA_3,RNA_2,CondA,34.71,1.508415835268723e-24
CondB_1,RNA_2,CondB,33.95,2.6213262886286807e-25
CondB_2,RNA_2,CondB,25.32,6.144988620158944e-34
CondB_3,RNA_2,CondB,29.1,3.702721799394622e-30
CondC_1,RNA_2,CondC,34.88,2.23111051479173e-24
CondC_2,RNA_2,CondC,33.99,2.87422712045828e-25
CondC_3,RNA_2,CondC,32.39,7.219732104955982e-27
CondD_1,RNA_2,CondD,32.9,2.3362595138949378e-26
CondD_2,RNA_2,CondD,29.0,2.941176470588235e-30
CondD_3,RNA_2,CondD,24.46,8.482445597431212e-35
CondA_1,RNA_3,CondA,19.86,2.1306940002205565e-39
CondA_2,RNA_3,CondA,18.83,1.988479339388174e-40
CondA_3,RNA_3,CondA,19.03,3.1515273683459097e-40
CondB_1,RNA_3,CondB,21.7,1.4740800989037517e-37
CondB_2,RNA_3,CondB,18.68,1.4077355656548179e-40
CondB_3,RNA_3,CondB,18.4,7.3879012691458e-41
CondC_1,RNA_3,CondC,31.48,8.88221094235888e-28
CondC_2,RNA_3,CondC,29.1,3.702721799394622e-30
CondC_3,RNA_3,CondC,29.91,2.3906779887179398e-29
CondD_1,RNA_3,CondD,17.83,1.988479339388174e-41
CondD_2,RNA_3,CondD,19.82,1.9432160235517543e-39
CondD_3,RNA_3,CondD,22.19,4.555342996801391e-37
CondA_1,RNA_4,CondA,28.71,1.508415835268723e-30
CondA_2,RNA_4,CondA,26.72,1.5435513536757977e-32
CondA_3,RNA_4,CondA,28.31,6.005111601969187e-31
CondB_1,RNA_4,CondB,28.71,1.508415835268723e-30
CondB_2,RNA_4,CondB,29.84,2.034796973290989e-29
CondB_3,RNA_4,CondB,35.94,2.561657617517871e-23
CondC_1,RNA_4,CondC,36.23,4.994834271946271e-23
CondC_2,RNA_4,CondC,33.15,4.154522190066911e-26
CondC_3,RNA_4,CondC,32.42,7.736082329104096e-27
CondD_1,RNA_4,CondD,21.87,2.1803242391203685e-37
CondD_2,RNA_4,CondD,24.22,4.881137963051637e-35
CondD_3,RNA_4,CondD,24.25,5.230233558938008e-35
CondA_1,RNA_5,CondA,18.09,3.618437561212916e-41
CondA_2,RNA_5,CondA,21.6,1.1709034428044076e-37
CondA_3,RNA_5,CondA,19.23,4.994834271946353e-40
CondB_1,RNA_5,CondB,19.79,1.813514711357297e-39
CondB_2,RNA_5,CondB,19.42,7.736082329104095e-40
CondB_3,RNA_5,CondB,25.65,1.3137752710322402e-33
CondC_1,RNA_5,CondC,30.81,1.8989830265725105e-28
CondC_2,RNA_5,CondC,28.69,1.4405259393189637e-30
CondC_3,RNA_5,CondC,27.97,2.744865590579378e-31
CondD_1,RNA_5,CondD,18.08,3.5360718665217887e-41
CondD_2,RNA_5,CondD,20.22,4.881137963051636e-39
CondD_3,RNA_5,CondD,20.25,5.2302335589380084e-39
CondA_1,RNA_6,CondA,26.02,3.079789847208525e-33
CondA_2,RNA_6,CondA,24.2,4.661450566062129e-35
CondA_3,RNA_6,CondA,23.67,1.3756915920211767e-35
CondB_1,RNA_6,CondB,24.84,2.0347969732910055e-34
CondB_2,RNA_6,CondB,22.32,6.144988620158944e-37
CondB_3,RNA_6,CondB,27.7,1.4740800989037397e-31
CondC_1,RNA_6,CondC,31.52,9.739150631840906e-28
CondC_2,RNA_6,CondC,28.54,1.0198142660368559e-30
CondC_3,RNA_6,CondC,28.85,2.0821934834827657e-30
CondD_1,RNA_6,CondD,19.04,3.2249358710093617e-40
CondD_2,RNA_6,CondD,19.65,1.3137752710322403e-39
CondD_3,RNA_6,CondD,20.04,3.2249358710093616e-39
